,food,paired_wine,pairing_text
10,meatloaf,"['zinfandel', 'cabernet sauvignon']","Meatloaf works really well with Zinfandel and Cabernet Sauvignon. Meatloaf will work with many red wines. We recommend something bold and fruity, like a Cabernet Sauvignon or Zinfandel. The Seghesio Cortina Zinfandel with a 4.3 out of 5 star rating seems like a good match. It costs about 40 dollars per bottle."
11,crabcakes,"['cava', 'chardonnay', 'sauvignon blanc']","Cava, Chardonnay, and Sauvignon Blanc are my top picks for Crabcakes. Sparkling wine like cava goes great with fried food in general. Chardonnay is a classic pairing, but sauvignon blanc is great if your crab cakes are on the spicier side. The Poema Brut Cava with a 4.2 out of 5 star rating seems like a good match. It costs about 11 dollars per bottle."
12,lobster,"['chablis', 'chardonnay']","Chablis and Chardonnay are my top picks for Lobster. Chablis is perfect with lobster, but a chardonny from other regions is bound to hit the spot too. The Louis Jadot Chablis with a 4.4 out of 5 star rating seems like a good match. It costs about 20 dollars per bottle."
13,fish,"['pinot grigio', 'gruener veltliner', 'pinot noir']","Pinot Grigio, Gruener Veltliner, and Pinot Noir are great choices for Fish. Fish is as diverse as wine, so it's hard to pick wines that go with every fish. A crisp white wine, such as a pinot grigio or Grüner Veltliner, will suit any delicately flavored white fish. Meaty, strongly flavored fish such as salmon and tuna can even handle a light red wine, such as a pinot noir. The King Estate Signature Collection Pinot Gris with a 4.3 out of 5 star rating seems like a good match. It costs about 16 dollars per bottle."
14,shrimp,"['pinot grigio', 'riesling', 'sauvignon blanc']","Shrimp can be paired with Pinot Grigio, Riesling, and Sauvignon Blanc. These crisp white wines work well with shrimp prepared in a variety of ways, whether grilled, fried, or in garlic sauce. One wine you could try is Holm Oak Tasmania Pinot Gris. It has 4 out of 5 stars and a bottle costs about 21 dollars."
15,oysters,"['chardonnay', 'muscadet', 'riesling']","Chardonnay, Muscadet, and Riesling are great choices for Oysters. Buttery chardonnay is great for scallops, shrimp, crab, and lobster, while muscadet is a classic pick for mussels, oysters, and clams. If you've got some spice in your shellfish, a semi-dry riesling can balance out the heat. The District 7 Estate Chardonnay with a 5 out of 5 star rating seems like a good match. It costs about 18 dollars per bottle."
16,italian,"['chianti', 'trebbiano', 'verdicchio']","Italian works really well with Chianti, Trebbiano, and Verdicchio. Italians know food and they know wine. Trebbiano and Verdicchio are Italian white wines that pair well with fish and white meat, while Chianti is a great Italian red for heavier, bolder dishes. The Tiamo Chianti with a 4.3 out of 5 star rating seems like a good match. It costs about 10 dollars per bottle."
17,indian,"['gruener veltliner', 'riesling', 'sparkling rose']","Gruener Veltliner, Riesling, and Sparkling rosé are great choices for Indian. The best wine for Indian food will depending on the dish, of course, but these picks can be served chilled and have some sweetness to complement the spiciness and complex flavors of a wide variety of traditional dishes. One wine you could try is Laurenz V Singing Gruner Veltliner. It has 4.4 out of 5 stars and a bottle costs about 16 dollars."
18,barbecue,"['zinfandel', 'rose wine']","Zinfandel and rosé Wine are great choices for Barbecue. A rosé is refreshing in hot temperatures and complements sweet and spicy sauces and rubs. Zinfandel is a classic red wine choice for barbecue, especially for pork ribs and beef brisket. You could try Seghesio Cortina Zinfandel. Reviewers quite like it with a 4.3 out of 5 star rating and a price of about 40 dollars per bottle."
19,sushi,"['riesling', 'sake', 'sauvignon blanc', 'sparkling rose', 'sparkling wine']","Sushi can be paired with Riesling, Sake, and Sauvignon Blanc. If you're serving a selection of appetizers, you can't go wrong with these. Both are very food friendly and complement a variety of flavors. The Heinz Eifel Riesling Spatlese with a 4 out of 5 star rating seems like a good match. It costs about 14 dollars per bottle."
20,cajun,"['albarino', 'rose wine', 'sauvignon blanc']","Cajun on the menu? Try pairing with Albarino, rosé Wine, and Sauvignon Blanc. These low-tannin, lower alcohol wines will complement the heat in spicy cajun dishes, instead of making your mouth burn more. The La Canan Albarino with a 4.1 out of 5 star rating seems like a good match. It costs about 20 dollars per bottle."
21,greek,"['agiorgitiko', 'moschofilero', 'assyrtiko']","Agiorgitiko, Moschofilero, and Assyrtiko are great choices for Greek. If you feel like going Greek with your Greek food, assyrtiko and moschofilero are both lovely white wines to pair with chicken, seafood, etc. Agiorgitiko is a full bodied red suitable for roasted meats and lamb. You could try Boutari Moschofilero. Reviewers quite like it with a 4 out of 5 star rating and a price of about 14 dollars per bottle."
22,southern,"['riesling', 'sparkling wine', 'zinfandel']","Riesling, Sparkling Wine, and Zinfandel are my top picks for Southern. In general, there are a few rules that will help you pair wine with southern food. Food-friendly riesling or sparkling white wine will work with many fried foods, while zinfandel is great with barbecued fare. The Poet's Leap Riesling with a 4 out of 5 star rating seems like a good match. It costs about 20 dollars per bottle."
23,chicken,"['chardonnay', 'pinot noir', 'sauvignon blanc']","Chardonnay, Pinot Noir, and Sauvignon Blanc are great choices for Chicken. White meat is typically paired with white wine as to not overpower the flavor of the meat, so chardonnay and sauvignon blanc are safe choices. Chicken prepared with a tomato sauce or certainly a red wine sauce can and should be served with a red like a pinot noir. The NV Mindbender Chardonnay with a 4.4 out of 5 star rating seems like a good match. It costs about 12 dollars per bottle."
24,beef,"['merlot', 'cabernet sauvignon', 'pinot noir']","Beef works really well with Merlot, Cabernet Sauvignon, and Pinot Noir. Beef and red wine are a classic combination. Generally, leaner cuts of beef go well with light or medium-bodied reds, such as pinot noir or merlot, while fattier cuts can handle a bold red, such as cabernet sauvingnon. The Director's Merlot with a 5 out of 5 star rating seems like a good match. It costs about 21 dollars per bottle."
25,chili,"['cava', 'grenache', 'shiraz']","Chili works really well with Cava, Grenache, and Shiraz. These juicy reds don't have too much tannin (important for spicy foods), but a sparkling wine like cava can tame the heat even better. The Bohigas Brut Reserva Cava with a 4.3 out of 5 star rating seems like a good match. It costs about 17 dollars per bottle."
26,burger,"['malbec', 'merlot', 'zinfandel']","Malbec, Merlot, and Zinfandel are my top picks for Burger. Merlot will be perfectly adequate for a classic burger with standard toppings. Bolder toppings call for bolder wines, such as a malbec or peppery zinfandel. One wine you could try is Bodegas Renacer Punto Final Malbec Reserva. It has 4.2 out of 5 stars and a bottle costs about 19 dollars."
27,stew,"['cabernet sauvignon', 'chablis', 'malbec']","Cabernet Sauvignon, Chablis, and Malbec are my top picks for Stew. Full-bodied red wines like malbec and cabernet sauvignon are the perfect accompaniment for beef stew. Fish stew probably calls for a white wine, such as chablis. One wine you could try is Vincent Bouquet Cabernet Sauvignon Vin de Pays d'Oc. It has 4.2 out of 5 stars and a bottle costs about 8 dollars."
28,prime rib,"['merlot', 'cabernet sauvignon', 'pinot noir']","Merlot, Cabernet Sauvignon, and Pinot Noir are my top picks for Prime Rib. Beef and red wine are a classic combination. Generally, leaner cuts of beef go well with light or medium-bodied reds, such as pinot noir or merlot, while fattier cuts can handle a bold red, such as cabernet sauvingnon. The Robert Mondavi Napa Merlot with a 4 out of 5 star rating seems like a good match. It costs about 30 dollars per bottle."
29,beef ribs,"['merlot', 'cabernet sauvignon', 'pinot noir']","Merlot, Cabernet Sauvignon, and Pinot Noir are great choices for Beef Ribs. Beef and red wine are a classic combination. Generally, leaner cuts of beef go well with light or medium-bodied reds, such as pinot noir or merlot, while fattier cuts can handle a bold red, such as cabernet sauvingnon. The NV The Big Kahuna Merlot with a 4.5 out of 5 star rating seems like a good match. It costs about 7 dollars per bottle."
30,cod,"['pinot grigio', 'gruener veltliner', 'pinot noir']","Pinot Grigio, Gruener Veltliner, and Pinot Noir are my top picks for Cod. Fish is as diverse as wine, so it's hard to pick wines that go with every fish. A crisp white wine, such as a pinot grigio or Grüner Veltliner, will suit any delicately flavored white fish. Meaty, strongly flavored fish such as salmon and tuna can even handle a light red wine, such as a pinot noir. The King Estate Signature Collection Pinot Gris with a 4.3 out of 5 star rating seems like a good match. It costs about 16 dollars per bottle."
31,crab,"['chardonnay', 'pinot grigio', 'riesling']","Crab works really well with Chardonnay, Pinot Grigio, and Riesling. Chilled crab tastes great with pinot grigio. Warm crab (especially with butter) can be matched with a buttery Chardonnay or a crisp fruity Riesling. The NV Mindbender Chardonnay with a 4.4 out of 5 star rating seems like a good match. It costs about 12 dollars per bottle."
32,clams,"['chardonnay', 'muscadet', 'riesling']","Chardonnay, Muscadet, and Riesling are my top picks for Clams. Buttery chardonnay is great for scallops, shrimp, crab, and lobster, while muscadet is a classic pick for mussels, oysters, and clams. If you've got some spice in your shellfish, a semi-dry riesling can balance out the heat. One wine you could try is NV Mindbender Chardonnay. It has 4.4 out of 5 stars and a bottle costs about 12 dollars."
33,salad,"['chardonnay', 'gruener veltliner', 'sauvignon blanc']","Salad works really well with Chardonnay, Gruener Veltliner, and Sauvignon Blanc. Sauvignon Blanc and Gruner Veltliner both have herby notes that complement salads with enough acid to match tart vinaigrettes, while a Chardonnay can be a good pick for creamy salad dressings. The NV Mindbender Chardonnay with a 4.4 out of 5 star rating seems like a good match. It costs about 12 dollars per bottle."
34,brisket,"['shiraz', 'tempranillo', 'zinfandel']","Brisket on the menu? Try pairing with Shiraz, Tempranillo, and Zinfandel. All these red wines can handle the meaty, smokey flavor of brisket. If you're talking traditional Jewish brisket, you'll want to look for a kosher red wine. The Penfolds Bin 8 Cabernet-Shiraz with a 4.1 out of 5 star rating seems like a good match. It costs about 20 dollars per bottle."
35,gumbo,"['albarino', 'rose wine', 'sauvignon blanc']","Albarino, rosé Wine, and Sauvignon Blanc are great choices for Gumbo. These low-tannin, lower alcohol wines will complement the heat in spicy cajun dishes, instead of making your mouth burn more. The Martin Codax Albarino with a 4.1 out of 5 star rating seems like a good match. It costs about 17 dollars per bottle."
36,meatloaf,"['zinfandel', 'cabernet sauvignon']","Zinfandel and Cabernet Sauvignon are great choices for Meatloaf. Meatloaf will work with many red wines. We recommend something bold and fruity, like a Cabernet Sauvignon or Zinfandel. The Zinfandelic Sierra Foothills Old Vine Zinfandel with a 4 out of 5 star rating seems like a good match. It costs about 15 dollars per bottle."
37,paella,"['tempranillo', 'albarino', 'grenache']","Paella can be paired with Tempranillo, Albarino, and Grenache. When pairing wine with Spanish dishes, why not follow the rule 'what grows together goes together'? We recommend albariño for white wine and garnachan and tempranillo for red. The Orgasmic Wine Company Oh! Orgasmic , Tempranillo with a 5 out of 5 star rating seems like a good match. It costs about 80 dollars per bottle."
38,empanada,"['tempranillo', 'albarino', 'grenache']","Empanada works really well with Tempranillo, Albarino, and Grenache. When pairing wine with Spanish dishes, why not follow the rule 'what grows together goes together'? We recommend albariño for white wine and garnachan and tempranillo for red. The Steppe Cellars Tempranillo - Grenache - Mourvedre with a 5 out of 5 star rating seems like a good match. It costs about 28 dollars per bottle."
39,spanish,"['tempranillo', 'albarino', 'grenache']","Tempranillo, Albarino, and Grenache are my top picks for Spanish. When pairing wine with Spanish dishes, why not follow the rule 'what grows together goes together'? We recommend albariño for white wine and garnachan and tempranillo for red. The Orgasmic Wine Company Oh! Orgasmic , Tempranillo with a 5 out of 5 star rating seems like a good match. It costs about 80 dollars per bottle."
40,pho,"['chenin blanc', 'gewurztraminer', 'riesling']","Chenin Blanc, Gewurztraminer, and Riesling are my top picks for Pho. The best wine for Asian food depends on the cuisine and dish - of course - but these acidic whites pair with a number of traditional meals, spicy or not. The Pine Ridge Chenin Blanc - Viognier with a 4.1 out of 5 star rating seems like a good match. It costs about 13 dollars per bottle."
41,chole,"['riesling', 'gruener veltliner', 'sparkling rose']","Riesling, Gruener Veltliner, and Sparkling rosé are great choices for Chole. The best wine for Indian food will depending on the dish, of course, but these picks can be served chilled and have some sweetness to complement the spiciness and complex flavors of a wide variety of traditional dishes. The Engel Wines Riesling - Kosher with a 5 out of 5 star rating seems like a good match. It costs about 20 dollars per bottle."
42,caribbean,"['riesling', 'gewurztraminer', 'pinot gris']","Caribbean can be paired with Riesling, Gewurztraminer, and Pinot Gris. You'll want to opt for wines with a bit of sweetness when dealing with spicy Caribbean dishes. Serve these wines chilled so they're even more refreshing. You could try Chateau Ste. Michelle Cold Creek Vineyard Riesling. Reviewers quite like it with a 4.2 out of 5 star rating and a price of about 15 dollars per bottle."
43,jerk chicken,"['gewurztraminer', 'pinot gris', 'riesling']","Jerk Chicken can be paired with Gewurztraminer, Pinot Gris, and Riesling. You'll want to opt for wines with a bit of sweetness when dealing with spicy Caribbean dishes. Serve these wines chilled so they're even more refreshing. The Lucien Albrecht Reserve Gewurztraminer with a 4.2 out of 5 star rating seems like a good match. It costs about 18 dollars per bottle."
44,african,"['pinotage', 'riesling', 'chenin blanc']","Pinotage, Riesling, and Chenin Blanc are my top picks for African. The best wine for African dishes will depend on the dish, but a fruity, aromatic white wine is a safe bet for spicy dishes while pinotage would be a traditional match for South African cuisine. The Pacific Rim Riesling with a 4.2 out of 5 star rating seems like a good match. It costs about 12 dollars per bottle."
45,piri piri chicken,"['pinotage', 'chenin blanc', 'riesling']","Piri Piri Chicken works really well with Pinotage, Chenin Blanc, and Riesling. The best wine for African dishes will depend on the dish, but a fruity, aromatic white wine is a safe bet for spicy dishes while pinotage would be a traditional match for South African cuisine. The Tanian et Vincent Careme Terre Brulee Chenin Blanc with a 4.1 out of 5 star rating seems like a good match. It costs about 16 dollars per bottle."
46,bunny chow,"['pinotage', 'chenin blanc', 'riesling']","Bunny Chow can be paired with Pinotage, Chenin Blanc, and Riesling. The best wine for African dishes will depend on the dish, but a fruity, aromatic white wine is a safe bet for spicy dishes while pinotage would be a traditional match for South African cuisine. The Pine Ridge Chenin Blanc - Viognier with a 4.1 out of 5 star rating seems like a good match. It costs about 13 dollars per bottle."
47,asian,"['riesling', 'gewurztraminer', 'chenin blanc']","Asian can be paired with Riesling, Gewurztraminer, and Chenin Blanc. The best wine for Asian food depends on the cuisine and dish - of course - but these acidic whites pair with a number of traditional meals, spicy or not. The Poet's Leap Riesling with a 4 out of 5 star rating seems like a good match. It costs about 20 dollars per bottle."
48,gazpacho,"['albarino', 'manzanilla sherry', 'verdejo']","Albarino, Manzanilla Sherry, and Verdejo are great choices for Gazpacho. Though gazpacho is said to be a tricky pairing, all these Spanish wines can work. You could try La Canan Albarino. Reviewers quite like it with a 4.1 out of 5 star rating and a price of about 20 dollars per bottle."
